X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.152605192,4.62957710884801,105,A4201,4407878,2015/03/18 00:00:00+00,2015,KR 79A-CL 26 S 10,CON HERIDOS,CHOQUE,KENNEDY,2015/03/18 06:35:00+00,4.62957711,-74.15260519,8004799,231178
-74.0532489289999,4.65813348984712,110,A000284282,4427766,2015/10/27 00:00:00+00,2015,KR 7-CL 75 04,SOLO DANOS,CHOQUE,CHAPINERO,2015/10/27 08:00:00+00,4.65813349,-74.05324893,2001031,39362
-74.112622105,4.6515754408473,111,A14743,4426438,2015/10/12 00:00:00+00,2015,KR 68D-CL 22B 71,SOLO DANOS,CHOQUE,FONTIBON,2015/10/12 17:15:00+00,4.65157544,-74.11262211,9003886,228695
-74.119820058,4.6734135048466,114,A000603583,4479754,2017/04/25 00:00:00+00,2017,KR 85-CL 25F 02,SOLO DANOS,CHOQUE,FONTIBON,2017/04/25 16:00:00+00,4.6734135,-74.11982006,9002417,222875
-74.1129229809999,4.58013001884961,116,A000648144,4490724,2017/08/17 00:00:00+00,2017,CL 31B-KR 21A S 12,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE,2017/08/17 17:20:00+00,4.58013002,-74.11292298,18000997,133220
-74.08619735,4.66849642984678,117,A000693174,4502748,2017/12/11 00:00:00+00,2017,CL 65-KR 62 2,SOLO DANOS,CHOQUE,BARRIOS UNIDOS,2017/12/11 08:30:00+00,4.66849643,-74.08619735,0,
-74.154500059,4.5753527378498,119,A20228,4466118,2016/12/04 00:00:00+00,2016,AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 46A 02,CON HERIDOS,ATROPELLO,CIUDAD BOLIVAR,2016/12/04 21:40:00+00,4.57535274,-74.15450006,19003286,242454
-74.051520738,4.6956493758459,127,A000555209,4472710,2017/02/11 00:00:00+00,2017,KR 19B-CL 109 02,SOLO DANOS,CHOQUE,USAQUEN,2017/02/11 11:58:00+00,4.69564938,-74.05152074,1005087,50251
-74.0679388199999,4.62295814784827,128,A000476531,4462518,2016/10/31 00:00:00+00,2016,KR 13-CL 35 02,CON HERIDOS,CHOQUE,SANTA FE,2016/10/31 20:00:00+00,4.62295815,-74.06793882,3000037,192480
-74.084168749,4.69356637184592,129,A000691360,4499933,2017/11/17 00:00:00+00,2017,KR 70-CL 87 2,SOLO DANOS,CHOQUE,ENGATIVA,2017/11/17 20:20:00+00,4.69356637,-74.08416875,50003334,
